City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,sitka,57.05,-135.33,55.4,82,90,13.87,US,1594788939
294,kuito,-12.38,16.93,43.81,57,0,4.36,AO,1594788998
295,berezayka,57.99,33.9,51.49,93,100,10.36,RU,1594788998
296,husavik,66.04,-17.34,50.0,93,90,3.36,IS,1594788998
297,port elizabeth,-33.92,25.57,46.4,75,57,9.17,ZA,1594788892
298,souillac,-20.52,57.52,73.4,83,40,14.99,MU,1594788916
299,beloha,-25.17,45.05,65.86,81,2,6.8,MG,1594788920
300,vila franca do campo,37.72,-25.43,66.2,82,40,8.05,PT,1594788999
301,gat,31.61,34.76,73.99,68,0,1.99,IL,1594788908
302,ergani,38.27,39.76,84.2,43,0,2.24,TR,1594788906
303,honiara,-9.43,159.95,87.8,66,40,8.05,SB,1594788999
304,orlik,52.52,99.83,59.74,74,100,9.08,RU,1594789000
305,punta alta,-38.88,-62.07,39.72,69,40,8.21,AR,1594789000
306,oktyabrskoye,43.06,44.74,69.8,77,44,4.47,RU,1594789000
307,ketchikan,55.34,-131.65,57.2,93,90,11.41,US,1594788650
308,berbera,10.44,45.01,91.0,42,86,27.16,SO,1594789001
309,belyy yar,53.6,91.39,73.4,53,20,17.9,RU,1594789001
310,whyalla,-33.03,137.58,64.4,36,0,13.87,AU,1594788764
311,egvekinot,66.32,-179.17,48.63,84,100,3.44,RU,1594789001
312,yinchuan,38.47,106.27,88.36,22,84,4.74,CN,1594789001
313,coahuayana,18.73,-103.68,78.6,89,13,1.45,MX,1594789001
314,candolim,15.52,73.76,80.6,88,75,8.05,IN,1594789002
315,north bend,43.41,-124.22,61.0,87,1,20.8,US,1594788619
316,rosario,-32.95,-60.64,46.0,56,0,4.7,AR,1594789002
317,aleksandrov gay,50.15,48.57,79.72,55,100,7.81,RU,1594789002
318,wilmington,34.23,-77.94,77.0,94,1,3.18,US,1594789002
319,bahia blanca,-38.72,-62.27,39.18,70,33,5.1,AR,1594789002
320,zhuhai,22.28,113.57,102.99,75,20,14.99,CN,1594789003
321,sola,-13.88,167.55,79.34,80,97,12.66,VU,1594788927
322,port hedland,-20.32,118.57,80.6,22,39,12.75,AU,1594788915
323,dunedin,-45.87,170.5,46.99,79,53,6.22,NZ,1594788704
324,viedma,-40.81,-63.0,35.74,81,43,5.55,AR,1594788832
325,maddur,12.6,77.07,73.4,83,40,9.17,IN,1594789003
326,stokmarknes,68.56,14.91,63.0,75,36,4.0,NO,1594789003
327,vardo,70.37,31.11,48.2,87,84,9.17,NO,1594789003
328,lahat,-3.8,103.53,88.74,52,99,4.32,ID,1594789004
329,bullhead city,35.15,-114.57,102.2,6,1,12.75,US,1594789004
330,ambon,-3.7,128.18,84.0,88,75,3.36,ID,1594789004
331,whitehorse,60.72,-135.05,50.0,93,75,11.41,CA,1594788915
332,lardos,36.09,28.02,75.2,78,0,11.41,GR,1594789004
333,qinzhou,21.95,108.62,94.68,52,41,14.94,CN,1594789005
334,alta floresta,-9.88,-56.09,68.11,51,4,3.44,BR,1594789005
335,banda aceh,5.56,95.32,85.96,68,92,4.83,ID,1594789005
336,mount isa,-20.73,139.5,71.6,17,0,10.29,AU,1594788906
337,yenagoa,4.92,6.26,73.85,93,100,5.7,NG,1594789005
338,sinnamary,5.38,-52.95,76.98,85,80,6.62,GF,1594789005
339,omsukchan,62.53,155.8,59.29,77,100,5.17,RU,1594789006
340,tazovskiy,67.47,78.7,51.75,63,82,8.99,RU,1594789006
341,kavieng,-2.57,150.8,84.96,62,100,3.58,PG,1594789006
342,yumen,40.28,97.2,83.14,18,89,9.98,CN,1594789006
343,laguna,38.42,-121.42,71.6,56,1,6.93,US,1594789006
344,avera,33.19,-82.53,77.0,88,1,4.12,US,1594788904
345,sao joao da barra,-21.64,-41.05,69.64,84,97,13.67,BR,1594788909
346,sibu,2.3,111.82,86.0,70,40,4.7,MY,1594789007
347,bayan,46.08,127.4,88.72,48,5,2.73,CN,1594789007
348,northam,51.03,-4.22,57.99,92,99,5.99,GB,1594789007
349,raduzhnyy,62.1,77.47,58.44,72,94,6.69,RU,1594789007
350,san vicente de canete,-13.08,-76.38,61.57,81,50,4.18,PE,1594789007
351,longyearbyen,78.22,15.64,44.6,75,75,6.93,SJ,1594788653
352,atambua,-9.11,124.89,81.93,52,0,3.11,ID,1594789008
353,qeshm,26.96,56.27,91.4,75,75,6.93,IR,1594789008
354,eureka,40.8,-124.16,57.99,100,1,3.06,US,1594788716
355,san vicente,-26.62,-54.13,39.49,94,0,3.67,AR,1594789009
356,filadelfia,39.95,-75.16,80.01,54,20,3.36,US,1594788798
357,san ramon,37.78,-121.98,64.4,68,1,10.29,US,1594788785
358,hokitika,-42.72,170.97,49.08,59,60,10.18,NZ,1594789009
359,darhan,49.49,105.92,83.3,47,0,10.94,MN,1594789009
360,saint george,37.1,-113.58,91.4,15,1,5.82,US,1594788832
361,sobolevo,54.43,31.9,50.47,93,100,22.3,RU,1594788896
362,burgeo,47.62,-57.62,54.72,85,100,21.25,CA,1594789009
363,mercedes,-34.65,-59.43,41.0,90,0,5.48,AR,1594789010
364,dublin,37.7,-121.94,64.4,68,1,10.29,US,1594788899
365,tieli,46.95,128.05,86.22,55,1,3.27,CN,1594789010
366,te anau,-45.42,167.72,40.32,83,21,1.25,NZ,1594788926
367,tomatlan,19.93,-105.25,78.39,90,9,1.88,MX,1594789010
368,yorkton,51.22,-102.47,59.0,77,40,13.87,CA,1594789010
369,hudson bay,52.85,-102.38,56.12,82,73,12.48,CA,1594789011
370,pevek,69.7,170.31,44.4,72,28,7.05,RU,1594788910
371,nyurba,63.28,118.33,82.02,44,40,5.55,RU,1594789011
372,punta gorda,26.93,-82.05,82.99,88,1,3.44,US,1594788721
373,bathsheba,13.22,-59.52,80.6,78,20,11.41,BB,1594788665
374,marsh harbour,26.54,-77.06,83.57,74,94,5.3,BS,1594789011
375,hofn,64.25,-15.21,50.92,90,99,7.14,IS,1594789011
376,port hardy,50.7,-127.42,59.0,87,75,3.36,CA,1594789012
377,takoradi,4.88,-1.76,73.22,86,26,10.74,GH,1594788928
378,sokolo,14.73,-6.12,80.6,66,99,8.68,ML,1594788890
379,benito juarez,19.39,-99.17,64.4,77,75,4.7,MX,1594788953
380,okha,53.57,142.95,71.2,61,30,9.24,RU,1594789012
381,tromso,69.65,18.96,53.6,76,49,21.92,NO,1594789012
